mem_no,ord_no,ord_dt
117,1000,2023-06-10
38,1001,2023-06-10
38,1002,2023-06-10
83,1003,2023-06-10
83,1004,2023-06-10
117,1005,2023-06-18
38,1006,2023-06-18
38,1007,2023-06-18
117,1008,2023-06-11
65,1009,2023-06-11
65,1010,2023-06-11
19,1011,2023-06-11
19,1012,2023-06-11
162,1013,2023-06-11
188,1014,2023-06-11
51,1015,2023-06-11
51,1016,2023-06-11
199,1017,2023-06-11
117,1018,2023-06-07
84,1019,2023-06-07
84,1020,2023-06-07
69,1021,2023-06-07
69,1022,2023-06-07
198,1023,2023-06-07
112,1024,2023-06-07
182,1025,2023-06-07
16,1026,2023-06-07
16,1027,2023-06-07
35,1028,2023-06-07
35,1029,2023-06-07
75,1030,2023-06-07
75,1031,2023-06-07
132,1032,2023-06-07
49,1033,2023-06-07
49,1034,2023-06-07
103,1035,2023-06-07
176,1036,2023-06-07
117,1037,2023-06-12
55,1038,2023-06-12
55,1039,2023-06-12
3,1040,2023-06-12
3,1041,2023-06-12
152,1042,2023-06-12
142,1043,2023-06-12
138,1044,2023-06-12
181,1045,2023-06-12
156,1046,2023-06-12
64,1047,2023-06-12
64,1048,2023-06-12
179,1049,2023-06-12
12,1050,2023-06-12
12,1051,2023-06-12
197,1052,2023-06-12
30,1053,2023-06-12
30,1054,2023-06-12
176,1055,2023-06-12
195,1056,2023-06-12
143,1057,2023-06-12
41,1058,2023-06-12
41,1059,2023-06-12
81,1060,2023-06-12
81,1061,2023-06-12
47,1062,2023-06-12
47,1063,2023-06-12
174,1064,2023-06-12
110,1065,2023-06-12
1,1066,2023-06-05
1,1067,2023-06-05
2,1068,2023-06-05
2,1069,2023-06-05
3,1070,2023-06-05
3,1071,2023-06-05
4,1072,2023-06-05
4,1073,2023-06-05
5,1074,2023-06-05
5,1075,2023-06-05
6,1076,2023-06-05
6,1077,2023-06-05
7,1078,2023-06-05
7,1079,2023-06-05
8,1080,2023-06-05
8,1081,2023-06-05
9,1082,2023-06-05
9,1083,2023-06-05
10,1084,2023-06-05
10,1085,2023-06-05
11,1086,2023-06-05
11,1087,2023-06-05
12,1088,2023-06-05
12,1089,2023-06-05
13,1090,2023-06-05
13,1091,2023-06-05
14,1092,2023-06-05
14,1093,2023-06-05
15,1094,2023-06-05
15,1095,2023-06-05
16,1096,2023-06-05
16,1097,2023-06-05
17,1098,2023-06-05
17,1099,2023-06-05
18,1100,2023-06-05
18,1101,2023-06-05
19,1102,2023-06-05
19,1103,2023-06-05
20,1104,2023-06-05
20,1105,2023-06-05
21,1106,2023-06-05
21,1107,2023-06-05
22,1108,2023-06-05
22,1109,2023-06-05
23,1110,2023-06-05
23,1111,2023-06-05
24,1112,2023-06-05
24,1113,2023-06-05
25,1114,2023-06-05
25,1115,2023-06-05
26,1116,2023-06-05
26,1117,2023-06-05
27,1118,2023-06-05
27,1119,2023-06-05
28,1120,2023-06-05
28,1121,2023-06-05
29,1122,2023-06-05
29,1123,2023-06-05
30,1124,2023-06-05
30,1125,2023-06-05
31,1126,2023-06-05
31,1127,2023-06-05
32,1128,2023-06-05
32,1129,2023-06-05
33,1130,2023-06-05
33,1131,2023-06-05
34,1132,2023-06-05
34,1133,2023-06-05
35,1134,2023-06-05
35,1135,2023-06-05
36,1136,2023-06-05
36,1137,2023-06-05
37,1138,2023-06-05
37,1139,2023-06-05
38,1140,2023-06-05
38,1141,2023-06-05
39,1142,2023-06-05
39,1143,2023-06-05
40,1144,2023-06-05
40,1145,2023-06-05
41,1146,2023-06-05
41,1147,2023-06-05
42,1148,2023-06-05
42,1149,2023-06-05
43,1150,2023-06-05
43,1151,2023-06-05
44,1152,2023-06-05
44,1153,2023-06-05
45,1154,2023-06-05
45,1155,2023-06-05
46,1156,2023-06-05
46,1157,2023-06-05
47,1158,2023-06-05
47,1159,2023-06-05
48,1160,2023-06-05
48,1161,2023-06-05
49,1162,2023-06-05
49,1163,2023-06-05
50,1164,2023-06-05
50,1165,2023-06-05
51,1166,2023-06-05
51,1167,2023-06-05
52,1168,2023-06-05
52,1169,2023-06-05
53,1170,2023-06-05
53,1171,2023-06-05
54,1172,2023-06-05
54,1173,2023-06-05
55,1174,2023-06-05
55,1175,2023-06-05
56,1176,2023-06-05
56,1177,2023-06-05
57,1178,2023-06-05
57,1179,2023-06-05
58,1180,2023-06-05
58,1181,2023-06-05
59,1182,2023-06-05
59,1183,2023-06-05
60,1184,2023-06-05
60,1185,2023-06-05
61,1186,2023-06-05
61,1187,2023-06-05
62,1188,2023-06-05
62,1189,2023-06-05
63,1190,2023-06-05
63,1191,2023-06-05
64,1192,2023-06-05
64,1193,2023-06-05
65,1194,2023-06-05
65,1195,2023-06-05
66,1196,2023-06-05
66,1197,2023-06-05
67,1198,2023-06-05
67,1199,2023-06-05
68,1200,2023-06-05
68,1201,2023-06-05
69,1202,2023-06-05
69,1203,2023-06-05
70,1204,2023-06-05
70,1205,2023-06-05
71,1206,2023-06-05
71,1207,2023-06-05
72,1208,2023-06-05
72,1209,2023-06-05
73,1210,2023-06-05
73,1211,2023-06-05
74,1212,2023-06-05
74,1213,2023-06-05
75,1214,2023-06-05
75,1215,2023-06-05
76,1216,2023-06-05
76,1217,2023-06-05
77,1218,2023-06-05
77,1219,2023-06-05
78,1220,2023-06-05
78,1221,2023-06-05
79,1222,2023-06-05
79,1223,2023-06-05
80,1224,2023-06-05
80,1225,2023-06-05
81,1226,2023-06-05
81,1227,2023-06-05
82,1228,2023-06-05
82,1229,2023-06-05
83,1230,2023-06-05
83,1231,2023-06-05
84,1232,2023-06-05
84,1233,2023-06-05
85,1234,2023-06-05
85,1235,2023-06-05
86,1236,2023-06-05
86,1237,2023-06-05
87,1238,2023-06-05
87,1239,2023-06-05
88,1240,2023-06-05
88,1241,2023-06-05
89,1242,2023-06-05
89,1243,2023-06-05
90,1244,2023-06-05
90,1245,2023-06-05
91,1246,2023-06-05
91,1247,2023-06-05
92,1248,2023-06-05
92,1249,2023-06-05
93,1250,2023-06-05
93,1251,2023-06-05
94,1252,2023-06-05
94,1253,2023-06-05
95,1254,2023-06-05
95,1255,2023-06-05
96,1256,2023-06-05
96,1257,2023-06-05
97,1258,2023-06-05
97,1259,2023-06-05
98,1260,2023-06-05
98,1261,2023-06-05
99,1262,2023-06-05
99,1263,2023-06-05
100,1264,2023-06-05
100,1265,2023-06-05
117,1266,2023-06-05
127,1267,2023-06-05
111,1268,2023-06-05
123,1269,2023-06-11
101,1270,2023-06-11
154,1271,2023-06-11
3,1272,2023-06-11
3,1273,2023-06-11
25,1274,2023-06-11
25,1275,2023-06-11
107,1276,2023-06-11
100,1277,2023-06-11
100,1278,2023-06-11
83,1279,2023-06-11
83,1280,2023-06-11
8,1281,2023-06-11
8,1282,2023-06-11
195,1283,2023-06-11
152,1284,2023-06-11
27,1285,2023-06-11
27,1286,2023-06-11
98,1287,2023-06-11
98,1288,2023-06-11
122,1289,2023-06-11
117,1290,2023-06-16
43,1291,2023-06-16
43,1292,2023-06-16
65,1293,2023-06-16
65,1294,2023-06-16
149,1295,2023-06-16
191,1296,2023-06-16
181,1297,2023-06-16
70,1298,2023-06-16
70,1299,2023-06-16
1,1300,2023-06-16
1,1301,2023-06-16
23,1302,2023-06-16
23,1303,2023-06-16
52,1304,2023-06-16
52,1305,2023-06-16
180,1306,2023-06-16
154,1307,2023-06-16
88,1308,2023-06-16
88,1309,2023-06-16
46,1310,2023-06-16
46,1311,2023-06-16
67,1312,2023-06-16
67,1313,2023-06-16
31,1314,2023-06-16
31,1315,2023-06-16
192,1316,2023-06-16
176,1317,2023-06-16
36,1318,2023-06-16
36,1319,2023-06-16
122,1320,2023-06-18
64,1321,2023-06-18
64,1322,2023-06-18
18,1323,2023-06-18
18,1324,2023-06-18
8,1325,2023-06-18
8,1326,2023-06-18
197,1327,2023-06-18
145,1328,2023-06-18
166,1329,2023-06-18
63,1330,2023-06-18
63,1331,2023-06-18
28,1332,2023-06-18
28,1333,2023-06-18
83,1334,2023-06-18
83,1335,2023-06-18
181,1336,2023-06-18
49,1337,2023-06-18
49,1338,2023-06-18
106,1339,2023-06-18
152,1340,2023-06-18
139,1341,2023-06-18
165,1342,2023-06-18
117,1343,2023-06-14
194,1344,2023-06-14
2,1345,2023-06-14
2,1346,2023-06-14
105,1347,2023-06-14
122,1348,2023-06-14
145,1349,2023-06-14
181,1350,2023-06-14
72,1351,2023-06-14
72,1352,2023-06-14
29,1353,2023-06-14
29,1354,2023-06-14
26,1355,2023-06-14
26,1356,2023-06-14
110,1357,2023-06-14
1,1358,2023-06-14
1,1359,2023-06-14
198,1360,2023-06-14
171,1361,2023-06-14
75,1362,2023-06-14
75,1363,2023-06-14
116,1364,2023-06-14
23,1365,2023-06-14
23,1366,2023-06-14
152,1367,2023-06-14
117,1368,2023-06-17
8,1369,2023-06-17
8,1370,2023-06-17
176,1371,2023-06-17
20,1372,2023-06-17
20,1373,2023-06-17
31,1374,2023-06-17
31,1375,2023-06-17
7,1376,2023-06-17
7,1377,2023-06-17
12,1378,2023-06-17
12,1379,2023-06-17
47,1380,2023-06-17
47,1381,2023-06-17
192,1382,2023-06-17
36,1383,2023-06-17
36,1384,2023-06-17
26,1385,2023-06-16
26,1386,2023-06-16
19,1387,2023-06-16
19,1388,2023-06-16
116,1389,2023-06-16
198,1390,2023-06-16
3,1391,2023-06-16
3,1392,2023-06-16
102,1393,2023-06-16
152,1394,2023-06-16
199,1395,2023-06-16
190,1396,2023-06-16
142,1397,2023-06-16
197,1398,2023-06-16
98,1399,2023-06-16
98,1400,2023-06-16
133,1401,2023-06-16
12,1402,2023-06-16
12,1403,2023-06-16
95,1404,2023-06-16
95,1405,2023-06-16
117,1406,2023-06-06
132,1407,2023-06-06
112,1408,2023-06-06
118,1409,2023-06-06
138,1410,2023-06-06
73,1411,2023-06-06
73,1412,2023-06-06
147,1413,2023-06-06
198,1414,2023-06-06
197,1415,2023-06-06
32,1416,2023-06-06
32,1417,2023-06-06
157,1418,2023-06-06
108,1419,2023-06-06
87,1420,2023-06-06
87,1421,2023-06-06
45,1422,2023-06-06
45,1423,2023-06-06
31,1424,2023-06-06
31,1425,2023-06-06
98,1426,2023-06-06
98,1427,2023-06-06
152,1428,2023-06-06
107,1429,2023-06-06
77,1430,2023-06-06
77,1431,2023-06-06
121,1432,2023-06-06
19,1433,2023-06-06
19,1434,2023-06-06
145,1435,2023-06-06
190,1436,2023-06-06
51,1437,2023-06-06
51,1438,2023-06-06
116,1439,2023-06-06
64,1440,2023-06-06
64,1441,2023-06-06
139,1442,2023-06-06
117,1443,2023-06-09
190,1444,2023-06-09
116,1445,2023-06-09
181,1446,2023-06-09
147,1447,2023-06-09
122,1448,2023-06-09
151,1449,2023-06-09
139,1450,2023-06-09
143,1451,2023-06-09
77,1452,2023-06-09
77,1453,2023-06-09
65,1454,2023-06-09
65,1455,2023-06-09
20,1456,2023-06-09
20,1457,2023-06-09
177,1458,2023-06-09
89,1459,2023-06-09
89,1460,2023-06-09
72,1461,2023-06-09
72,1462,2023-06-09
36,1463,2023-06-09
36,1464,2023-06-09
128,1465,2023-06-09
