mem_no,ord_no,ord_dt
800,10000,2023-01-08
800,10001,2023-02-11
800,10002,2023-03-11
800,10003,2023-03-06
929,10004,2023-02-26
929,10005,2023-03-22
929,10006,2023-02-26
929,10007,2023-03-12
929,10008,2023-01-02
929,10009,2023-02-21
929,10010,2023-03-22
929,10011,2023-02-18
929,10012,2023-03-27
376,10013,2023-01-25
376,10014,2023-01-20
169,10015,2023-03-29
169,10016,2023-03-25
169,10017,2023-03-10
169,10018,2023-01-12
169,10019,2023-03-21
169,10020,2023-03-21
169,10021,2023-03-12
169,10022,2023-03-21
412,10023,2023-01-25
412,10024,2023-03-15
412,10025,2023-03-05
412,10026,2023-03-01
412,10027,2023-01-26
412,10028,2023-01-29
179,10029,2023-02-14
179,10030,2023-02-07
179,10031,2023-02-28
179,10032,2023-02-09
179,10033,2023-02-10
179,10034,2023-02-11
179,10035,2023-02-12
179,10036,2023-02-08
179,10037,2023-01-29
250,10038,2023-01-22
814,10039,2023-01-17
814,10040,2023-01-03
814,10041,2023-01-29
814,10042,2023-02-28
814,10043,2023-01-24
814,10044,2023-02-07
814,10045,2023-01-25
236,10046,2023-01-21
236,10047,2023-01-25
445,10048,2023-02-16
445,10049,2023-01-28
48,10050,2023-03-08
48,10051,2023-01-13
48,10052,2023-03-06
48,10053,2023-03-27
48,10054,2023-02-26
48,10055,2023-03-09
55,10056,2023-01-09
680,10057,2023-03-11
680,10058,2023-01-06
680,10059,2023-01-06
680,10060,2023-01-27
680,10061,2023-02-20
680,10062,2023-02-15
680,10063,2023-01-25
680,10064,2023-02-11
680,10065,2023-02-13
680,10066,2023-01-13
680,10067,2023-02-26
680,10068,2023-01-10
680,10069,2023-01-06
111,10070,2023-03-04
111,10071,2023-01-17
111,10072,2023-01-28
111,10073,2023-01-19
407,10074,2023-01-24
407,10075,2023-03-19
407,10076,2023-01-24
535,10077,2023-02-17
535,10078,2023-02-03
535,10079,2023-02-26
535,10080,2023-01-17
275,10081,2023-01-24
275,10082,2023-01-26
275,10083,2023-02-04
275,10084,2023-01-26
275,10085,2023-02-13
275,10086,2023-03-03
275,10087,2023-01-29
890,10088,2023-01-16
890,10089,2023-01-25
874,10090,2023-01-29
738,10091,2023-01-02
738,10092,2023-03-16
738,10093,2023-02-01
738,10094,2023-01-16
738,10095,2023-02-10
166,10096,2023-01-18
166,10097,2023-02-23
166,10098,2023-02-10
858,10099,2023-01-28
910,10100,2023-03-19
910,10101,2023-03-31
910,10102,2023-01-16
910,10103,2023-03-16
910,10104,2023-03-31
910,10105,2023-03-16
287,10106,2023-01-10
264,10107,2023-02-10
264,10108,2023-01-07
264,10109,2023-01-01
264,10110,2023-02-08
264,10111,2023-01-26
264,10112,2023-01-13
701,10113,2023-02-13
701,10114,2023-01-30
701,10115,2023-01-28
367,10116,2023-01-31
367,10117,2023-03-31
367,10118,2023-02-07
367,10119,2023-03-08
367,10120,2023-03-11
367,10121,2023-03-02
367,10122,2023-02-26
29,10123,2023-01-08
29,10124,2023-01-07
29,10125,2023-01-08
29,10126,2023-01-08
29,10127,2023-01-08
498,10128,2023-01-21
217,10129,2023-01-15
217,10130,2023-01-07
217,10131,2023-01-27
394,10132,2023-01-06
798,10133,2023-01-16
801,10134,2023-02-27
801,10135,2023-02-04
801,10136,2023-01-16
801,10137,2023-03-30
801,10138,2023-03-05
801,10139,2023-03-03
801,10140,2023-03-09
801,10141,2023-01-15
791,10142,2023-01-11
791,10143,2023-01-04
791,10144,2023-01-11
791,10145,2023-01-12
293,10146,2023-02-09
293,10147,2023-01-30
293,10148,2023-02-17
293,10149,2023-02-28
293,10150,2023-02-15
293,10151,2023-01-26
293,10152,2023-03-13
293,10153,2023-01-18
293,10154,2023-02-25
91,10155,2023-01-01
91,10156,2023-03-03
91,10157,2023-01-01
581,10158,2023-03-24
581,10159,2023-01-06
581,10160,2023-01-23
581,10161,2023-02-03
945,10162,2023-01-03
945,10163,2023-01-04
749,10164,2023-01-13
637,10165,2023-01-16
637,10166,2023-01-25
637,10167,2023-01-15
