mem_no,session_id,log_dt,log_stamp,referrer
39,1,2023-08-01,2023-08-01 19:10:19,bnr1
39,1,2023-08-01,2023-08-01 19:10:20,null
39,1,2023-08-01,2023-08-01 19:10:21,null
39,1,2023-08-01,2023-08-01 19:10:22,null
39,1,2023-08-01,2023-08-01 19:10:24,null
39,1,2023-08-01,2023-08-01 19:10:30,null
39,1,2023-08-01,2023-08-01 19:10:38,null
39,1,2023-08-01,2023-08-01 19:10:42,null
39,1,2023-08-01,2023-08-01 19:10:44,null
39,1,2023-08-01,2023-08-01 19:10:57,null
39,1,2023-08-01,2023-08-01 19:10:58,null
39,1,2023-08-01,2023-08-01 19:11:00,null
39,1,2023-08-01,2023-08-01 19:11:01,null
39,1,2023-08-01,2023-08-01 19:11:03,null
39,1,2023-08-01,2023-08-01 19:11:04,null
39,1,2023-08-01,2023-08-01 19:11:05,null
39,1,2023-08-01,2023-08-01 19:11:09,null
39,1,2023-08-01,2023-08-01 19:11:11,null
39,1,2023-08-01,2023-08-01 19:11:15,null
39,1,2023-08-01,2023-08-01 19:11:18,null
39,1,2023-08-01,2023-08-01 19:11:19,null
39,1,2023-08-01,2023-08-01 19:11:23,null
39,1,2023-08-01,2023-08-01 19:11:37,null
39,1,2023-08-01,2023-08-01 19:11:40,null
39,1,2023-08-01,2023-08-01 19:11:44,null
39,1,2023-08-01,2023-08-01 19:11:45,null
39,1,2023-08-01,2023-08-01 19:11:46,null
39,1,2023-08-01,2023-08-01 19:11:47,null
39,1,2023-08-01,2023-08-01 19:11:50,null
39,1,2023-08-01,2023-08-01 19:11:54,null
39,1,2023-08-01,2023-08-01 19:12:00,null
39,1,2023-08-01,2023-08-01 19:12:02,null
39,1,2023-08-01,2023-08-01 19:12:07,null
39,1,2023-08-01,2023-08-01 19:12:08,null
39,1,2023-08-01,2023-08-01 19:12:12,null
39,1,2023-08-01,2023-08-01 19:12:13,null
39,1,2023-08-01,2023-08-01 19:13:02,null
39,1,2023-08-01,2023-08-01 19:13:03,null
39,1,2023-08-01,2023-08-01 19:13:24,null
39,1,2023-08-01,2023-08-01 19:13:25,null
39,1,2023-08-01,2023-08-01 19:14:03,null
39,1,2023-08-01,2023-08-01 19:14:04,null
39,1,2023-08-01,2023-08-01 19:14:17,null
39,1,2023-08-01,2023-08-01 19:14:19,null
39,1,2023-08-01,2023-08-01 19:14:22,null
39,1,2023-08-01,2023-08-01 19:14:30,null
39,1,2023-08-01,2023-08-01 19:14:31,null
39,1,2023-08-01,2023-08-01 19:14:32,null
39,1,2023-08-01,2023-08-01 19:14:50,null
39,1,2023-08-01,2023-08-01 19:21:51,null
39,1,2023-08-01,2023-08-01 19:22:02,null
39,1,2023-08-01,2023-08-01 19:22:04,null
39,1,2023-08-01,2023-08-01 19:22:11,null
39,1,2023-08-01,2023-08-01 19:22:51,null
39,1,2023-08-01,2023-08-01 19:23:09,null
39,1,2023-08-01,2023-08-01 19:23:15,null
39,1,2023-08-01,2023-08-01 19:23:16,null
39,1,2023-08-01,2023-08-01 19:23:17,null
39,1,2023-08-01,2023-08-01 19:23:20,null
39,1,2023-08-01,2023-08-01 19:23:39,null
39,1,2023-08-01,2023-08-01 19:23:52,null
39,1,2023-08-01,2023-08-01 19:24:06,null
39,1,2023-08-01,2023-08-01 19:28:15,null
37,2,2023-08-01,2023-08-01 18:18:59,bnr1
37,2,2023-08-01,2023-08-01 18:19:01,null
37,2,2023-08-01,2023-08-01 18:19:02,null
37,2,2023-08-01,2023-08-01 18:19:28,null
37,2,2023-08-01,2023-08-01 18:19:29,null
37,2,2023-08-01,2023-08-01 18:19:30,null
37,2,2023-08-01,2023-08-01 18:19:40,null
37,2,2023-08-01,2023-08-01 18:19:50,null
37,2,2023-08-01,2023-08-01 18:19:51,null
37,2,2023-08-01,2023-08-01 18:21:04,null
37,2,2023-08-01,2023-08-01 18:21:05,null
37,2,2023-08-01,2023-08-01 18:21:06,null
37,2,2023-08-01,2023-08-01 18:21:15,null
37,2,2023-08-01,2023-08-01 18:21:17,null
37,2,2023-08-01,2023-08-01 18:21:18,null
37,2,2023-08-01,2023-08-01 18:21:19,null
37,2,2023-08-01,2023-08-01 18:21:23,null
37,2,2023-08-01,2023-08-01 18:21:24,null
37,2,2023-08-01,2023-08-01 18:21:27,null
37,2,2023-08-01,2023-08-01 18:21:28,null
37,2,2023-08-01,2023-08-01 18:21:33,null
37,2,2023-08-01,2023-08-01 18:21:35,null
37,2,2023-08-01,2023-08-01 18:21:36,null
37,2,2023-08-01,2023-08-01 18:21:43,null
37,2,2023-08-01,2023-08-01 18:21:44,null
37,2,2023-08-01,2023-08-01 18:21:48,null
37,2,2023-08-01,2023-08-01 18:21:50,null
37,2,2023-08-01,2023-08-01 18:21:52,null
37,2,2023-08-01,2023-08-01 18:21:55,null
37,2,2023-08-01,2023-08-01 18:21:56,null
37,2,2023-08-01,2023-08-01 18:21:58,null
37,2,2023-08-01,2023-08-01 18:21:59,null
37,2,2023-08-01,2023-08-01 18:23:27,null
37,2,2023-08-01,2023-08-01 18:23:28,null
37,2,2023-08-01,2023-08-01 18:23:37,null
37,2,2023-08-01,2023-08-01 18:23:39,null
37,2,2023-08-01,2023-08-01 18:23:40,null
37,2,2023-08-01,2023-08-01 18:23:41,null
37,2,2023-08-01,2023-08-01 18:23:42,null
37,2,2023-08-01,2023-08-01 18:23:59,null
37,2,2023-08-01,2023-08-01 18:24:00,null
37,2,2023-08-01,2023-08-01 18:24:03,null
37,2,2023-08-01,2023-08-01 18:24:06,null
37,2,2023-08-01,2023-08-01 18:24:08,null
37,2,2023-08-01,2023-08-01 18:24:09,null
37,2,2023-08-01,2023-08-01 18:24:16,null
37,2,2023-08-01,2023-08-01 18:24:17,null
37,2,2023-08-01,2023-08-01 18:24:20,null
37,2,2023-08-01,2023-08-01 18:24:37,null
37,2,2023-08-01,2023-08-01 18:24:38,null
37,2,2023-08-01,2023-08-01 18:24:51,null
37,2,2023-08-01,2023-08-01 18:25:19,null
37,2,2023-08-01,2023-08-01 18:25:20,null
37,2,2023-08-01,2023-08-01 18:25:22,null
37,2,2023-08-01,2023-08-01 18:25:26,null
37,2,2023-08-01,2023-08-01 18:25:28,null
37,2,2023-08-01,2023-08-01 18:25:29,null
37,2,2023-08-01,2023-08-01 18:25:30,null
37,2,2023-08-01,2023-08-01 18:25:38,null
37,2,2023-08-01,2023-08-01 18:25:39,null
37,2,2023-08-01,2023-08-01 18:25:40,null
37,2,2023-08-01,2023-08-01 18:26:26,null
37,2,2023-08-01,2023-08-01 18:26:27,null
37,2,2023-08-01,2023-08-01 18:26:28,null
37,2,2023-08-01,2023-08-01 18:26:30,null
37,2,2023-08-01,2023-08-01 18:26:31,null
37,2,2023-08-01,2023-08-01 18:26:32,null
37,2,2023-08-01,2023-08-01 18:26:34,null
37,2,2023-08-01,2023-08-01 18:26:35,null
37,2,2023-08-01,2023-08-01 18:26:38,null
37,2,2023-08-01,2023-08-01 18:26:40,null
37,2,2023-08-01,2023-08-01 18:26:41,null
37,2,2023-08-01,2023-08-01 18:26:42,null
37,2,2023-08-01,2023-08-01 18:26:43,null
37,2,2023-08-01,2023-08-01 18:26:50,null
37,2,2023-08-01,2023-08-01 18:26:51,null
37,2,2023-08-01,2023-08-01 18:26:52,null
37,2,2023-08-01,2023-08-01 18:26:53,null
37,2,2023-08-01,2023-08-01 18:26:55,null
37,2,2023-08-01,2023-08-01 18:26:59,null
37,2,2023-08-01,2023-08-01 18:27:00,null
37,2,2023-08-01,2023-08-01 18:27:01,null
37,2,2023-08-01,2023-08-01 18:27:02,null
37,2,2023-08-01,2023-08-01 18:27:03,null
37,2,2023-08-01,2023-08-01 18:27:04,null
37,2,2023-08-01,2023-08-01 18:27:05,null
37,2,2023-08-01,2023-08-01 18:27:14,null
37,2,2023-08-01,2023-08-01 18:27:16,null
37,2,2023-08-01,2023-08-01 18:27:17,null
37,2,2023-08-01,2023-08-01 18:27:20,null
37,2,2023-08-01,2023-08-01 18:27:25,null
37,2,2023-08-01,2023-08-01 18:27:28,null
37,2,2023-08-01,2023-08-01 18:28:17,null
37,2,2023-08-01,2023-08-01 18:28:19,null
37,2,2023-08-01,2023-08-01 18:28:23,null
37,2,2023-08-01,2023-08-01 18:28:24,null
37,2,2023-08-01,2023-08-01 18:28:25,null
37,2,2023-08-01,2023-08-01 18:28:26,null
37,2,2023-08-01,2023-08-01 18:28:31,null
37,2,2023-08-01,2023-08-01 18:28:32,null
37,2,2023-08-01,2023-08-01 18:28:40,null
37,2,2023-08-01,2023-08-01 18:28:41,null
37,2,2023-08-01,2023-08-01 18:28:42,null
37,2,2023-08-01,2023-08-01 18:28:47,null
37,2,2023-08-01,2023-08-01 18:28:48,null
37,2,2023-08-01,2023-08-01 18:28:49,null
