mem_no,ord_no,ord_dt
1,1000,2023-07-07
1,1001,2023-07-19
1,1002,2023-07-13
1,1003,2023-07-13
1,1004,2023-07-13
1,1005,2023-07-06
1,1006,2023-08-04
1,1007,2023-08-04
1,1008,2023-08-04
1,1009,2023-08-04
2,1010,2023-07-26
2,1011,2023-07-27
2,1012,2023-07-27
2,1013,2023-08-30
2,1014,2023-08-30
2,1015,2023-07-01
2,1016,2023-07-01
2,1017,2023-08-14
2,1018,2023-08-24
2,1019,2023-08-22
2,1020,2023-08-09
2,1021,2023-08-25
2,1022,2023-07-22
2,1023,2023-07-10
2,1024,2023-07-13
2,1025,2023-07-13
2,1026,2023-07-20
2,1027,2023-07-20
2,1028,2023-07-06
2,1029,2023-07-03
2,1030,2023-07-03
2,1031,2023-08-03
2,1032,2023-08-03
2,1033,2023-08-18
2,1034,2023-07-29
3,1035,2023-08-06
3,1036,2023-08-01
3,1037,2023-07-27
3,1038,2023-07-31
3,1039,2023-07-31
3,1040,2023-07-31
3,1041,2023-08-24
3,1042,2023-07-12
3,1043,2023-08-25
3,1044,2023-08-17
3,1045,2023-07-20
3,1046,2023-07-20
3,1047,2023-08-29
4,1048,2023-08-11
4,1049,2023-08-11
4,1050,2023-08-11
4,1051,2023-08-11
4,1052,2023-08-27
4,1053,2023-08-14
4,1054,2023-07-28
4,1055,2023-07-28
4,1056,2023-07-28
4,1057,2023-07-22
4,1058,2023-07-13
4,1059,2023-07-03
4,1060,2023-08-04
5,1061,2023-08-21
5,1062,2023-07-27
5,1063,2023-08-19
5,1064,2023-08-31
5,1065,2023-08-11
5,1066,2023-08-27
5,1067,2023-08-27
5,1068,2023-08-12
5,1069,2023-08-22
5,1070,2023-08-25
5,1071,2023-08-10
5,1072,2023-08-17
5,1073,2023-08-23
6,1074,2023-08-06
6,1075,2023-07-30
6,1076,2023-08-26
6,1077,2023-08-24
6,1078,2023-07-28
6,1079,2023-08-09
6,1080,2023-08-09
6,1081,2023-08-09
6,1082,2023-08-13
6,1083,2023-08-18
6,1084,2023-08-18
6,1085,2023-08-18
6,1086,2023-08-02
7,1087,2023-08-06
7,1088,2023-07-26
7,1089,2023-08-21
7,1090,2023-08-21
7,1091,2023-07-24
7,1092,2023-07-30
7,1093,2023-07-30
7,1094,2023-08-20
7,1095,2023-08-01
7,1096,2023-08-28
7,1097,2023-07-27
7,1098,2023-07-27
7,1099,2023-08-19
7,1100,2023-07-31
7,1101,2023-08-26
7,1102,2023-08-11
7,1103,2023-08-27
7,1104,2023-07-19
7,1105,2023-08-30
7,1106,2023-08-16
7,1107,2023-08-14
7,1108,2023-07-18
7,1109,2023-08-24
7,1110,2023-08-22
7,1111,2023-07-12
7,1112,2023-07-12
7,1113,2023-07-28
7,1114,2023-08-09
7,1115,2023-08-25
7,1116,2023-08-25
7,1117,2023-08-25
7,1118,2023-08-25
7,1119,2023-07-25
7,1120,2023-07-25
7,1121,2023-07-25
7,1122,2023-07-22
7,1123,2023-07-10
7,1124,2023-08-07
7,1125,2023-08-08
7,1126,2023-08-13
7,1127,2023-08-13
7,1128,2023-08-23
7,1129,2023-08-03
7,1130,2023-08-18
7,1131,2023-08-02
7,1132,2023-08-04
7,1133,2023-07-17
8,1134,2023-08-11
8,1135,2023-08-11
8,1136,2023-08-11
8,1137,2023-08-11
8,1138,2023-08-11
8,1139,2023-08-11
8,1140,2023-08-11
8,1141,2023-08-11
8,1142,2023-08-11
8,1143,2023-08-11
8,1144,2023-08-11
8,1145,2023-08-11
8,1146,2023-08-11
8,1147,2023-08-11
8,1148,2023-08-11
8,1149,2023-08-11
8,1150,2023-08-11
8,1151,2023-08-11
8,1152,2023-08-11
8,1153,2023-08-11
8,1154,2023-08-11
8,1155,2023-08-11
8,1156,2023-08-11
8,1157,2023-08-11
8,1158,2023-08-11
8,1159,2023-08-11
8,1160,2023-08-11
8,1161,2023-08-11
8,1162,2023-08-11
8,1163,2023-08-11
8,1164,2023-08-11
8,1165,2023-08-11
8,1166,2023-08-11
8,1167,2023-08-11
8,1168,2023-08-11
8,1169,2023-08-11
8,1170,2023-08-11
8,1171,2023-08-11
8,1172,2023-08-11
8,1173,2023-08-11
8,1174,2023-08-11
