mem_no,event,session_id,log_dt,log_stamp
1,SearchClk,a1,2023-09-01,2023-09-01 14:50:00
1,CategoryClk,a1,2023-09-01,2023-09-01 14:50:00
1,CartClk,a1,2023-09-01,2023-09-01 14:53:00
1,CartClk,a1,2023-09-01,2023-09-01 14:53:00
1,CartClk,a1,2023-09-01,2023-09-01 14:53:00
1,CartClk,a1,2023-09-01,2023-09-01 14:54:00
1,CartClk,a1,2023-09-01,2023-09-01 14:55:00
1,CartClk,a1,2023-09-01,2023-09-01 14:55:00
1,CartClk,a1,2023-09-01,2023-09-01 14:55:00
1,CartClk,a1,2023-09-01,2023-09-01 14:56:00
1,CartClk,a1,2023-09-01,2023-09-01 14:57:00
2,BnrClk,b1,2023-09-01,2023-09-01 09:51:00
2,CartClk,b1,2023-09-01,2023-09-01 09:51:00
2,CartClk,b1,2023-09-01,2023-09-01 09:51:00
2,CartClk,b1,2023-09-01,2023-09-01 09:52:00
3,HomeClk,c1,2023-09-01,2023-09-01 09:52:00
3,CartClk,c1,2023-09-01,2023-09-01 09:53:00
3,CartClk,c1,2023-09-01,2023-09-01 09:56:00
4,HomeClk,d2,2023-09-01,2023-09-01 16:08:00
4,ExhibitionClk,d2,2023-09-01,2023-09-01 16:08:00
4,CartClk,d2,2023-09-01,2023-09-01 16:10:00
4,CartClk,d2,2023-09-01,2023-09-01 16:10:00
4,CartClk,d2,2023-09-01,2023-09-01 16:11:00
4,CartClk,d2,2023-09-01,2023-09-01 16:11:00
4,CartClk,d2,2023-09-01,2023-09-01 17:12:00
4,CartClk,d2,2023-09-01,2023-09-01 17:12:00
4,SearchClk,d1,2023-09-01,2023-09-01 18:30:00
4,CartClk,d1,2023-09-01,2023-09-01 18:34:00
4,CartClk,d1,2023-09-01,2023-09-01 18:35:00
4,CartClk,d1,2023-09-01,2023-09-01 18:36:00
4,CartClk,d1,2023-09-01,2023-09-01 18:36:00
4,CartClk,d1,2023-09-01,2023-09-01 18:44:00
4,CartClk,d1,2023-09-01,2023-09-01 18:44:00
4,CartClk,d1,2023-09-01,2023-09-01 18:44:00
4,CartClk,d1,2023-09-01,2023-09-01 18:46:00
4,CartClk,d1,2023-09-01,2023-09-01 18:46:00
4,CartClk,d1,2023-09-01,2023-09-01 18:47:00
4,CartClk,d1,2023-09-01,2023-09-01 18:47:00
4,CartClk,d1,2023-09-01,2023-09-01 18:47:00
4,CartClk,d1,2023-09-01,2023-09-01 18:48:00
4,CartClk,d1,2023-09-01,2023-09-01 18:48:00
4,CartClk,d1,2023-09-01,2023-09-01 18:48:00
4,CartClk,d1,2023-09-01,2023-09-01 18:50:00
4,CartClk,d1,2023-09-01,2023-09-01 18:51:00
4,CartClk,d1,2023-09-01,2023-09-01 18:51:00
4,CartClk,d1,2023-09-01,2023-09-01 18:51:00
4,CartClk,d1,2023-09-01,2023-09-01 19:45:00
4,CartClk,d1,2023-09-01,2023-09-01 19:52:00
5,HomeClk,e1,2023-09-01,2023-09-01 17:30:00
5,CategoryClk,e1,2023-09-01,2023-09-01 17:30:00
5,CartClk,e1,2023-09-01,2023-09-01 17:32:00
5,CartClk,e1,2023-09-01,2023-09-01 17:38:00
5,CartClk,e1,2023-09-01,2023-09-01 17:38:00
6,HomeClk,f1,2023-09-01,2023-09-01 10:58:00
6,CartClk,f1,2023-09-01,2023-09-01 10:59:00
6,CartClk,f1,2023-09-01,2023-09-01 11:02:00
6,CartClk,f1,2023-09-01,2023-09-01 11:03:00
7,HomeClk,g1,2023-09-01,2023-09-01 12:10:00
7,CartClk,g1,2023-09-01,2023-09-01 12:10:00
7,CartClk,g1,2023-09-01,2023-09-01 19:10:00
7,CartClk,g1,2023-09-01,2023-09-01 19:22:00
7,SearchClk,g2,2023-09-01,2023-09-01 19:50:00
7,CartClk,g2,2023-09-01,2023-09-01 19:50:00
7,CartClk,g2,2023-09-01,2023-09-01 20:10:00
7,CartClk,g2,2023-09-01,2023-09-01 20:19:00
8,HomeClk,h1,2023-09-01,2023-09-01 23:49:00
8,CategoryClk,h1,2023-09-01,2023-09-01 23:49:00
8,CartClk,h1,2023-09-01,2023-09-01 23:50:00
8,CartClk,h1,2023-09-01,2023-09-01 23:53:00
9,HomeClk,i1,2023-09-01,2023-09-01 08:00:00
9,SearchClk,i1,2023-09-01,2023-09-01 08:01:00
9,CartClk,i1,2023-09-01,2023-09-01 08:03:00
9,CartClk,i1,2023-09-01,2023-09-01 08:30:00
9,SearchClk,i2,2023-09-01,2023-09-01 20:25:00
9,CartClk,i2,2023-09-01,2023-09-01 20:25:00
9,CartClk,i2,2023-09-01,2023-09-01 20:34:00
9,CartClk,i2,2023-09-01,2023-09-01 20:38:00
9,CartClk,i2,2023-09-01,2023-09-01 20:38:00
10,BnrClk,j1,2023-09-01,2023-09-01 18:28:00
10,CategoryClk,j1,2023-09-01,2023-09-01 18:28:00
10,CartClk,j1,2023-09-01,2023-09-01 18:31:00
10,CartClk,j1,2023-09-01,2023-09-01 18:33:00
10,CartClk,j1,2023-09-01,2023-09-01 18:40:00
10,CartClk,j1,2023-09-01,2023-09-01 18:44:00
10,CartClk,j1,2023-09-01,2023-09-01 18:49:00
