mem_no,ord_no,ord_dt
1,10000,2023-01-08
2,10001,2023-01-02
3,10002,2023-01-20
3,10003,2023-01-25
4,10004,2023-01-12
5,10005,2023-01-26
5,10006,2023-01-29
5,10007,2023-01-25
6,10008,2023-01-29
7,10009,2023-01-22
8,10010,2023-01-24
8,10011,2023-01-03
8,10012,2023-01-17
8,10013,2023-01-29
8,10014,2023-01-25
9,10015,2023-01-25
9,10016,2023-01-21
10,10017,2023-01-28
11,10018,2023-01-13
12,10019,2023-01-09
13,10020,2023-01-13
13,10021,2023-01-06
13,10022,2023-01-06
13,10023,2023-01-10
13,10024,2023-01-25
13,10025,2023-01-06
13,10026,2023-01-27
14,10027,2023-01-28
14,10028,2023-01-19
14,10029,2023-01-17
15,10030,2023-01-24
15,10031,2023-01-24
16,10032,2023-01-17
17,10033,2023-01-29
17,10034,2023-01-24
17,10035,2023-01-26
17,10036,2023-01-26
18,10037,2023-01-25
18,10038,2023-01-16
19,10039,2023-01-29
20,10040,2023-01-02
20,10041,2023-01-16
21,10042,2023-01-18
22,10043,2023-01-28
23,10044,2023-01-16
24,10045,2023-01-10
25,10046,2023-01-01
25,10047,2023-01-26
25,10048,2023-01-13
25,10049,2023-01-07
26,10050,2023-01-30
26,10051,2023-01-28
27,10052,2023-01-31
28,10053,2023-01-08
28,10054,2023-01-08
28,10055,2023-01-08
28,10056,2023-01-08
28,10057,2023-01-07
29,10058,2023-01-21
30,10059,2023-01-07
30,10060,2023-01-27
30,10061,2023-01-15
31,10062,2023-01-06
32,10063,2023-01-16
33,10064,2023-01-16
33,10065,2023-01-15
34,10066,2023-01-11
34,10067,2023-01-04
34,10068,2023-01-12
34,10069,2023-01-11
35,10070,2023-01-18
35,10071,2023-01-30
35,10072,2023-01-26
36,10073,2023-01-01
36,10074,2023-01-01
37,10075,2023-01-06
37,10076,2023-01-23
38,10077,2023-01-04
38,10078,2023-01-03
39,10079,2023-01-13
40,10080,2023-01-15
40,10081,2023-01-25
40,10082,2023-01-07
40,10083,2023-01-23
40,10084,2023-01-16
40,10085,2023-01-22
40,10086,2023-01-26
41,10087,2023-01-23
42,10088,2023-01-11
42,10089,2023-01-18
42,10090,2023-01-18
42,10091,2023-01-12
42,10092,2023-01-12
42,10093,2023-01-20
42,10094,2023-01-17
42,10095,2023-01-11
42,10096,2023-01-11
42,10097,2023-01-22
42,10098,2023-01-18
43,10099,2023-01-04
44,10100,2023-01-30
45,10101,2023-01-04
45,10102,2023-01-07
46,10103,2023-01-27
46,10104,2023-01-25
46,10105,2023-01-08
46,10106,2023-01-12
47,10107,2023-01-23
47,10108,2023-01-16
47,10109,2023-01-30
47,10110,2023-01-15
48,10111,2023-01-18
49,10112,2023-01-23
49,10113,2023-01-30
50,10114,2023-01-30
50,10115,2023-01-17
50,10116,2023-01-19
50,10117,2023-01-29
51,10118,2023-01-04
51,10119,2023-01-10
52,10120,2023-01-26
53,10121,2023-01-28
53,10122,2023-01-25
54,10123,2023-01-31
54,10124,2023-01-26
54,10125,2023-01-29
55,10126,2023-01-15
56,10127,2023-01-30
56,10128,2023-01-14
57,10129,2023-01-25
57,10130,2023-01-15
58,10131,2023-01-31
58,10132,2023-01-28
58,10133,2023-01-27
58,10134,2023-01-26
58,10135,2023-01-25
58,10136,2023-01-30
59,10137,2023-01-21
60,10138,2023-01-20
61,10139,2023-01-14
62,10140,2023-01-06
62,10141,2023-01-15
62,10142,2023-01-25
62,10143,2023-01-16
63,10144,2023-01-29
63,10145,2023-01-13
63,10146,2023-01-22
64,10147,2023-01-26
64,10148,2023-01-02
65,10149,2023-01-11
65,10150,2023-01-04
65,10151,2023-01-27
66,10152,2023-01-30
66,10153,2023-01-23
66,10154,2023-01-16
66,10155,2023-01-01
67,10156,2023-01-19
67,10157,2023-01-18
68,10158,2023-01-28
68,10159,2023-01-28
69,10160,2023-01-19
69,10161,2023-01-06
70,10162,2023-01-17
71,10163,2023-01-25
71,10164,2023-01-15
72,10165,2023-01-30
73,10166,2023-01-21
73,10167,2023-01-24
73,10168,2023-01-23
74,10169,2023-01-11
74,10170,2023-01-06
74,10171,2023-01-21
75,10172,2023-01-08
76,10173,2023-01-28
76,10174,2023-01-28
77,10175,2023-01-25
77,10176,2023-01-10
78,10177,2023-01-08
79,10178,2023-01-17
80,10179,2023-01-14
81,10180,2023-01-02
82,10181,2023-01-21
83,10182,2023-01-17
84,10183,2023-01-03
84,10184,2023-01-08
85,10185,2023-01-29
86,10186,2023-01-18
86,10187,2023-01-28
86,10188,2023-01-05
86,10189,2023-01-30
86,10190,2023-01-27
86,10191,2023-01-08
86,10192,2023-01-13
86,10193,2023-01-31
86,10194,2023-01-26
86,10195,2023-01-26
86,10196,2023-01-04
86,10197,2023-01-30
86,10198,2023-01-12
86,10199,2023-01-15
86,10200,2023-01-22
86,10201,2023-01-07
87,10202,2023-01-07
87,10203,2023-01-11
87,10204,2023-01-24
88,10205,2023-01-19
88,10206,2023-01-03
89,10207,2023-01-25
90,10208,2023-01-18
91,10209,2023-01-28
91,10210,2023-01-28
92,10211,2023-01-24
93,10212,2023-01-13
94,10213,2023-01-08
95,10214,2023-01-25
96,10215,2023-01-18
97,10216,2023-01-24
98,10217,2023-01-01
99,10218,2023-01-13
100,10219,2023-01-11
101,10220,2023-01-02
102,10221,2023-01-06
102,10222,2023-01-21
102,10223,2023-01-15
102,10224,2023-01-14
103,10225,2023-01-27
104,10226,2023-01-10
105,10227,2023-01-20
106,10228,2023-01-13
106,10229,2023-01-13
107,10230,2023-01-29
107,10231,2023-01-15
108,10232,2023-01-13
109,10233,2023-01-14
109,10234,2023-01-25
110,10235,2023-01-15
110,10236,2023-01-30
111,10237,2023-01-28
112,10238,2023-01-08
112,10239,2023-01-15
113,10240,2023-01-13
113,10241,2023-01-27
113,10242,2023-01-20
113,10243,2023-01-04
114,10244,2023-01-08
114,10245,2023-01-20
115,10246,2023-01-13
115,10247,2023-01-24
116,10248,2023-01-08
116,10249,2023-01-14
117,10250,2023-01-04
118,10251,2023-01-12
118,10252,2023-01-12
119,10253,2023-01-05
119,10254,2023-01-09
120,10255,2023-01-05
121,10256,2023-01-22
122,10257,2023-01-06
122,10258,2023-01-06
123,10259,2023-01-29
124,10260,2023-01-13
125,10261,2023-01-30
125,10262,2023-01-27
126,10263,2023-01-06
127,10264,2023-01-25
128,10265,2023-01-01
129,10266,2023-01-14
130,10267,2023-01-11
130,10268,2023-01-11
131,10269,2023-01-14
131,10270,2023-01-11
132,10271,2023-01-10
133,10272,2023-01-08
134,10273,2023-01-24
135,10274,2023-01-14
136,10275,2023-01-08
137,10276,2023-01-18
137,10277,2023-01-07
138,10278,2023-01-01
139,10279,2023-01-28
139,10280,2023-01-27
139,10281,2023-01-31
140,10282,2023-01-28
141,10283,2023-01-29
142,10284,2023-01-30
142,10285,2023-01-26
142,10286,2023-01-09
143,10287,2023-01-11
144,10288,2023-01-24
145,10289,2023-01-18
145,10290,2023-01-18
145,10291,2023-01-18
146,10292,2023-01-29
146,10293,2023-01-23
147,10294,2023-01-10
148,10295,2023-01-16
149,10296,2023-01-13
150,10297,2023-01-28
151,10298,2023-01-28
151,10299,2023-01-26
152,10300,2023-01-18
153,10301,2023-01-05
154,10302,2023-01-08
154,10303,2023-01-02
154,10304,2023-01-29
154,10305,2023-01-09
154,10306,2023-01-02
154,10307,2023-01-13
154,10308,2023-01-02
154,10309,2023-01-24
154,10310,2023-01-25
154,10311,2023-01-24
154,10312,2023-01-14
154,10313,2023-01-11
154,10314,2023-01-02
154,10315,2023-01-11
154,10316,2023-01-20
155,10317,2023-01-27
156,10318,2023-01-20
157,10319,2023-01-14
158,10320,2023-01-31
159,10321,2023-01-30
159,10322,2023-01-20
159,10323,2023-01-09
159,10324,2023-01-14
160,10325,2023-01-06
160,10326,2023-01-28
161,10327,2023-01-18
162,10328,2023-01-12
162,10329,2023-01-01
163,10330,2023-01-15
164,10331,2023-01-24
164,10332,2023-01-31
164,10333,2023-01-31
165,10334,2023-01-01
166,10335,2023-01-08
167,10336,2023-01-07
167,10337,2023-01-03
167,10338,2023-01-03
167,10339,2023-01-02
167,10340,2023-01-02
167,10341,2023-01-30
168,10342,2023-01-26
168,10343,2023-01-29
169,10344,2023-01-02
170,10345,2023-01-31
171,10346,2023-01-22
171,10347,2023-01-23
172,10348,2023-01-26
172,10349,2023-01-29
173,10350,2023-01-31
174,10351,2023-01-29
175,10352,2023-01-25
175,10353,2023-01-12
